ID,Payload,Message,Response
"41","b'*'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:18.097|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=*|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=47|49=BANZAI|52=20241208-12:19:18.104|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=*|59=1|60=20241208-12:19:10|10=233|'"
"42","b'+'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:18.259|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=+|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=48|49=BANZAI|52=20241208-12:19:18.269|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=+|59=1|60=20241208-12:19:10|10=247|'"
"43","b','","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:18.424|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=,|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=49|49=BANZAI|52=20241208-12:19:18.434|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=,|59=1|60=20241208-12:19:10|10=243|'"
"44","b'-'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:18.590|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=-|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=50|49=BANZAI|52=20241208-12:19:18.600|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=-|59=1|60=20241208-12:19:10|10=231|'"
"45","b'.'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:18.755|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=.|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=51|49=BANZAI|52=20241208-12:19:18.766|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=.|59=1|60=20241208-12:19:10|10=246|'"
"46","b'/'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:18.923|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=/|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=52|49=BANZAI|52=20241208-12:19:18.930|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=/|59=1|60=20241208-12:19:10|10=241|'"
"47","b'0'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:19.085|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=0|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=53|49=BANZAI|52=20241208-12:19:19.093|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=0|59=1|60=20241208-12:19:10|10=244|'"
"48","b'1'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:19.250|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=1|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=54|49=BANZAI|52=20241208-12:19:19.257|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=1|59=1|60=20241208-12:19:10|10=248|'"
"49","b'2'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:19.412|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=2|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=55|49=BANZAI|52=20241208-12:19:19.423|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=2|59=1|60=20241208-12:19:10|10=245|'"
"50","b'3'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:19.580|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=3|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=56|49=BANZAI|52=20241208-12:19:19.591|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=3|59=1|60=20241208-12:19:10|10=253|'"
"51","b'4'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:19.746|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=4|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=57|49=BANZAI|52=20241208-12:19:19.756|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=4|59=1|60=20241208-12:19:10|10=002|'"
"52","b'5'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:19.912|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=5|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=58|49=BANZAI|52=20241208-12:19:19.923|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=5|59=1|60=20241208-12:19:10|10=000|'"
"53","b'6'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:20.079|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=6|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=59|49=BANZAI|52=20241208-12:19:20.090|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=6|59=1|60=20241208-12:19:10|10=245|'"
